UUID,date,Latitude,Longitude,Altitude,Velocity,Dist
Orni17499-166,2018-03-01,39.22438488055051,119.49379801439126,185.20833333333334,17.629243827160487,205.19908199214018
Orni17499-166,2018-03-02,43.64120373381136,120.2635373591981,524.9027777777778,18.83101851851852,495.29543998255724
Orni17499-166,2018-03-17,44.77169286666166,122.5032516602247,359.13194444444446,19.890046296296294,218.32615723185722
Orni17499-166,2018-03-18,45.83299582499492,124.81563108383587,133.9375,16.682098765432084,215.93610538244124
Orni17499-166,2018-03-21,47.6989966166616,123.42184368800241,186.97222222222223,17.937885802469136,233.06052433721024
Orni17499-166,2018-03-24,48.71336985971717,124.75588763244686,256.7916666666667,18.499228395061728,149.98096395639152
Orni17499-166,2018-03-27,48.60788153527078,126.68921393115518,288.1666666666667,17.492283950617292,142.4752946146406
Orni17499-166,2018-04-04,47.429264658328265,132.16525695883576,81.76388888888889,16.900077160493833,427.7446923040279
Orni17499-166,2018-04-29,49.73698159582827,136.17121309078033,16.78472222222222,18.10185185185185,390.644358122745
Orni17499-166,2018-05-01,51.89260410277273,139.76374786161352,88.50694444444444,17.56944444444444,348.00006228735253
Orni17499-166,2018-05-02,56.386206919784094,144.74787112154868,4.930555555555555,17.860725308641975,595.5373590180988
Orni17499-166,2018-05-03,62.95132747777276,151.35514137550243,446.50694444444446,17.9513888888889,817.9135619650776
Orni17499-166,2018-05-04,64.72022683193939,151.65155788939137,82.08333333333333,19.000771604938272,197.22827170664613
Orni17499-166,2018-05-07,67.57235906673938,158.19835687521106,49.041666666666664,17.831790123456777,432.29126140696866
Orni17499-166,2018-05-13,67.48073931149453,152.9322092178684,32.65277777777778,18.879243827160494,224.00088152411075
Orni17499-166,2018-05-14,66.15898933247355,150.56874248360268,27.72222222222222,16.799768518518515,179.70076029928788
Orni17499-166,2018-05-29,68.2412827624949,151.78829941022477,32.291666666666664,18.206018518518523,237.4172476376101
Orni17499-166,2018-06-05,68.97895999166168,157.73289104216911,30.09027777777778,16.998456790123463,254.52923978556746
Orni17499-166,2018-06-06,68.98271351249497,167.52926374355803,181.58333333333334,20.108024691358022,390.29831471691074
Orni17499-166,2018-06-21,69.52745258888382,164.1640451393913,41.40277777777778,16.95023148148148,145.7028438554859
Orni17499-166,2018-06-24,69.73157260087426,159.67062051429147,32.86805555555556,16.699459876543212,175.3552325291847
Orni17499-166,2018-06-28,69.60183624860608,164.4675053963357,-0.5902777777777778,18.832947530864203,185.85465026359537
Orni17499-166,2018-08-16,68.95490170693935,169.40904295883573,1.0486111111111112,17.364969135802472,207.2300568484809
Orni17499-166,2018-09-28,69.50537258544745,164.35462150479793,61.422680412371136,19.295532646048105,208.42047253068063
Orni17499-166,2018-10-03,62.607719304161606,149.9080389032803,441.8541666666667,18.626543209876544,1001.5449519482894
Orni17499-166,2018-10-04,54.29182344958034,139.53557670821388,47.826388888888886,18.32368827160494,1101.2704453088413
Orni17499-166,2018-10-05,52.446797720828286,130.77171297272463,499.0486111111111,17.70254629629631,616.0746477604763
Orni17499-166,2018-10-06,49.59018910170433,125.09994849409215,441.5769230769231,20.368589743589748,507.9718171704211
Orni17499-166,2018-10-07,46.80941638055051,122.60122104216914,232.6153846153846,20.309829059829063,360.3765541795663
Orni17499-166,2018-11-20,39.67587310661431,120.33697376114075,540.4225352112676,17.263302034428804,814.0423937091447
Orni17499-166,2018-11-21,31.21921726249494,116.76437743800244,199.93055555555554,18.526234567901234,994.2203865122525
Orni17499-166,2018-11-22,29.5124212839193,116.11137177532511,9.23076923076923,16.57342657342657,199.8587632826386
Orni17499-166,2019-01-23,31.437198686106065,118.8006800768913,12.645833333333334,16.417824074074076,334.9832307393672
Orni17499-166,2019-02-26,34.83364438749493,119.7209523130024,183.4375,18.757716049382715,387.2601161177197
Orni17499-166,2019-02-27,42.464119157648405,122.743221784302,283.5763888888889,17.500000000000007,887.9655584552597
Orni17499-166,2019-02-28,46.755340818050485,123.77590127133574,154.59027777777777,18.530092592592595,484.1011670847039
Orni17499-166,2019-03-22,48.41666858888382,126.34432072966914,298.99305555555554,17.3244598765432,266.86371075324035
Orni17499-166,2019-03-25,49.389092936106046,129.01571278522465,114.16666666666667,17.6929012345679,223.1802218324424
Orni17499-167,2017-08-08,68.87534580073293,169.40946923522648,16.4375,17.61188271604938,3060.8039781281386
Orni17499-167,2017-09-18,66.59355273619164,160.47386333838259,345.7986111111111,15.787037037037042,453.32983347758096
Orni17499-167,2017-09-19,61.04664080039282,148.1608722561313,506.006993006993,19.199689199689207,860.4428762519383
Orni17499-167,2017-09-20,60.31612397672273,146.91545640258488,265.84722222222223,17.19714506172841,105.81017140840132
Orni17499-167,2017-10-02,53.212953092016754,136.9313852110677,225.6344827586207,17.028735632183896,994.8022013205041
Orni17499-167,2017-10-03,47.595625725783755,134.0440162234184,446.1929824561403,18.22368421052631,657.1429294185481
Orni17499-167,2017-10-04,42.64178974206118,130.66027295444565,36.23931623931624,18.335707502374174,611.3344435483697
Orni17499-167,2017-10-17,41.713405649942246,129.76126146477304,322.0833333333333,17.01003086419753,127.06028361334499
Orni17499-167,2017-10-18,37.667511133103304,126.66113122465059,72.875,18.520447530864192,522.1709492228547
Orni17499-167,2017-10-19,36.66213052910106,126.38081068623576,0.5069444444444444,18.72685185185186,114.51936858351527
Orni17499-167,2017-11-29,34.40156940035574,120.94151006159096,27.75,18.846450617283953,552.5426082514837
Orni17499-167,2018-02-27,37.38577844485829,119.30034489065382,46.09722222222222,17.085262345679013,363.25279982499853
Orni17499-167,2018-03-01,39.22494518580035,119.49348660381806,185.20833333333334,17.652391975308646,205.1990712985289
Orni17499-167,2018-03-02,43.641764039061194,120.26322594862476,524.9027777777778,17.442129629629623,495.29536815004485
Orni17499-167,2018-03-17,44.77225317191145,122.50294024965145,359.13194444444446,17.509645061728392,218.324768603449
Orni17499-167,2018-03-18,45.833556130244794,124.81531967326254,133.9375,18.42978395061729,215.9346083320666
